name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Algiers,Algeria",2021-01-05T08:00:00,46.4,45.3,37.4,70.7,0,0,,,,,3.4,280,,50,6.2,20.7,0.1,0,,Partially cloudy,partly-cloudy-night,"60390099999,DAAG"
"Algiers,Algeria",2021-01-05T09:00:00,47.1,44.2,38.1,70.79,0,0,,,,,6,196,1017.9,51.3,6.4,69.5,0.3,1,,Partially cloudy,partly-cloudy-day,"60390099999,9V8207,DAAG"
"Algiers,Algeria",2021-01-05T10:00:00,51.5,51.5,40.8,66.63,0,0,,,,,2.4,341,1011.5,27.2,6.2,128.2,0.5,1,,Partially cloudy,partly-cloudy-day,"60371099999,60381099999,60369099999,60372099999,60394099999,60374099999"
"Algiers,Algeria",2021-01-05T11:00:00,51.8,51.8,39.2,62.02,0,0,,,,,5.8,90,,50,6.2,184.2,0.7,2,,Partially cloudy,partly-cloudy-day,"60390099999,DAAG"
"Algiers,Algeria",2021-01-05T12:00:00,53.6,53.6,44.6,71.47,0,0,,,,,4.7,70,,89.1,6.2,286.9,1,3,,Partially cloudy,partly-cloudy-day,"60390099999,DAAG"
"Algiers,Algeria",2021-01-05T13:00:00,53.8,53.8,45.9,74.56,0,0,,,,,1.3,93,1010.6,98.4,6.2,383.4,1.4,4,,Overcast,cloudy,"60390099999,60415099999,9V8207,60437099999,60369099999,DAAG"
"Algiers,Algeria",2021-01-05T14:00:00,53.6,53.6,41,62.25,0,0,,,,,3.4,270,,50,5,322.6,1.2,3,,Partially cloudy,partly-cloudy-day,"60390099999,DAAG"
"Algiers,Algeria",2021-01-05T15:00:00,53.6,53.6,46.4,76.52,0,0,,,,,2.2,259.5,,50,5,259,0.9,3,,Partially cloudy,partly-cloudy-day,"60390099999,DAAG"
"Algiers,Algeria",2021-01-05T16:00:00,52.8,52.8,43.9,71.5,0,0,,,,,1.1,360,1009.9,24.5,6.2,106.4,0.4,1,,Partially cloudy,partly-cloudy-day,"60371099999,60381099999,60369099999,60372099999,60394099999,60374099999"
"Algiers,Algeria",2021-01-05T17:00:00,52.4,52.4,43.4,71.28,0,0,,,,,2.5,293,1020.4,49.7,5.2,14.5,0.1,0,,Partially cloudy,partly-cloudy-day,"60390099999,9V8207,DAAG"
"Algiers,Algeria",2021-01-05T18:00:00,51.8,51.8,42.8,71.28,0,0,,,,,0,0,,50,5,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,DAAG"
"Algiers,Algeria",2021-01-05T19:00:00,52.6,52.6,46.2,78.83,0,0,,,,,0,360,1011.2,77.8,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,60415099999,60437099999,60369099999,DAAG"
"Algiers,Algeria",2021-01-05T20:00:00,46.4,46.4,42.8,87.19,0,0,,,,,2.2,140,,50,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,DAAG"
"Algiers,Algeria",2021-01-05T21:00:00,44.6,43.2,41,87.1,0,0,,,,,3.4,80,,27.7,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,DAAG"
"Algiers,Algeria",2021-01-05T22:00:00,48.5,48.5,46.5,92.89,0,0,,,,,1.3,357,1011,21.7,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60371099999,60381099999,60369099999,60372099999,60394099999,60374099999"
"Algiers,Algeria",2021-01-05T23:00:00,42.8,42.8,41,93.3,0.01,100,rain,,,,0,0,,27.7,6.2,0,,0,,"Rain, Partially cloudy",rain,"60390099999,DAAG"
"Algiers,Algeria",2021-01-06T00:00:00,42.8,42.8,41,93.3,0,0,,,,,0,0,,27.7,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,DAAG"
"Algiers,Algeria",2021-01-06T01:00:00,51.4,51.4,40,65.07,0,0,,,,,0.1,2,1010.5,77.9,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,9V8207,60369099999,DAAG"
"Algiers,Algeria",2021-01-06T02:00:00,44.6,44.6,42.8,93.35,0,0,,,,,1.1,132.4,,89.1,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,DAAG"
"Algiers,Algeria",2021-01-06T03:00:00,44.6,43.2,42.8,93.35,0,0,,,,,3.4,190,,89.1,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,DAAG"
"Algiers,Algeria",2021-01-06T04:00:00,47.4,47.4,44.9,91.13,0,0,,,,,2.2,357,1010.2,24.5,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60371099999,60381099999,60369099999,60372099999,60394099999,60374099999"
